item_fat_content,item_identifier,item_type,outlet_establishment_year,outlet_identifier,outlet_location_type,outlet_size,outlet_type,item_visibility,item_weight,sales,rating,total_sales,gross_margin,net_sales
Low Fat,FDS13,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.125210375,6.465,266.8884,5.0,266.8884,53.37768,213.51072
Regular,FDR25,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.139521931,17.0,266.8884,4.0,266.8884,53.37768,213.51072
Low Fat,NCS29,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.069487587,9.0,266.6884,4.3,266.6884,53.337680000000006,213.35072
Low Fat,FDK51,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.008762556,19.85,266.6884,4.7,266.6884,53.337680000000006,213.35072
Low Fat,NCS29,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06953231,9.0,266.5884,4.0,266.5884,53.317679999999996,213.27071999999998
Low Fat,NCS29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.069653585,9.0,266.2884,4.1,266.2884,53.25768000000001,213.03072000000003
Low Fat,FDS13,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.124402507,6.465,266.1884,3.4,266.1884,53.237680000000005,212.95072
Low Fat,FDK51,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.005243282,19.85,266.1884,4.0,266.1884,53.237680000000005,212.95072
Low Fat,FDK51,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.005235143,19.85,265.8884,4.0,265.8884,53.17768,212.71071999999998
Regular,FDR25,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.139804885,17.0,265.7884,4.0,265.7884,53.157680000000006,212.63072000000003
Regular,FDR25,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.140311123,17.0,265.6884,4.0,265.6884,53.13768,212.55072
Regular,FDU12,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.075736746,15.5,265.5568,4.0,265.5568,53.111360000000005,212.44544000000002
Low Fat,FDS13,Canned,2011,OUT010,Tier 3,Medium,Grocery Store,0.208397715,6.465,265.2884,4.0,265.2884,53.057680000000005,212.23072000000002
Low Fat,FDB15,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.136784873,10.895,265.2568,4.3,265.2568,53.05136,212.20544
Low Fat,FDV49,Canned,2015,OUT045,Tier 2,Small,Supermarket Type1,0.025879577,10.0,265.2226,4.0,265.2226,53.044520000000006,212.17808
Regular,FDR25,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.140090284,17.0,265.1884,4.0,265.1884,53.03768,212.15072
Low Fat,FDK51,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.005230786,19.85,265.1884,4.0,265.1884,53.03768,212.15072
